[setup] family=dry_season_gate model=ED-C1-dry_season_gate trials=500 cap=5.0
[setup] land cells=13826
[baseline internal] 0.6103358188328472 {'overall': 0.6295327635038362, 'bias': 0.7070857034108468, 'rmse': 0.37905444206142713, 'seas': 0.8505057485716704, 'spatial': 0.7544105415067992}
/Users/adithyasrinivasan/Projects/creativity-docs/exp-workspaces/exp_04/hermes/base/scripts/research_model_variants.py:168: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  sampler=optuna.samplers.TPESampler(seed=SEED, multivariate=True)
[I 2026-05-22 17:41:26,526] A new study created in memory with name: no-name-331d4af5-cd34-45c7-8336-ee4a9e9df167
[I 2026-05-22 17:41:26,997] Trial 0 finished with value: 0.6103502735484728 and parameters: {'k1': 0.02128012643297453, 'D_low': 33.107928264466416, 'k2': 0.0032479995010666245, 'D_high': 3020.3711370643746, 'fire_exp': 0.5746291131439772, 'P_half': 3.1845074798114754, 'pre_dampen_half': 5.714386941567207, 'gpp_af': 0.4621796973523708, 'gpp_b': 5.190713720036356e-05, 'gpp_d': 128.62113841235993, 'ign_k': 0.8146117322506592, 'ign_c': 20.126441845162326, 'dryanom_half': 7.0710678118654755, 'dry_amp': 0.0}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:32,194] Trial 11 finished with value: 0.461228709869537 and parameters: {'k1': 0.0052905379722557825, 'D_low': 82.02085388077674, 'k2': 0.04668858674686949, 'D_high': 176.34565258145315, 'fire_exp': 0.49400618984143574, 'P_half': 4.486560080935601, 'pre_dampen_half': 1.9022975792745185, 'gpp_af': 53.84644067254485, 'gpp_b': 1.8039318012287088e-05, 'gpp_d': 294.96381036315057, 'ign_k': 0.017217278219170344, 'ign_c': 86.12385946744891, 'dryanom_half': 2.3935220804046526, 'dry_amp': 0.1498902293489885}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:32,671] Trial 12 finished with value: 0.5032024522835651 and parameters: {'k1': 0.01547071913363048, 'D_low': 3.2568043301163576, 'k2': 0.00982278667661528, 'D_high': 2271.794385927702, 'fire_exp': 1.2817820409727594, 'P_half': 2.453484206421263, 'pre_dampen_half': 0.17760696510241994, 'gpp_af': 0.7834475995597213, 'gpp_b': 4.0250430721700334e-05, 'gpp_d': 393.1768388108159, 'ign_k': 0.09812406195984451, 'ign_c': 5.33502996693117, 'dryanom_half': 191.8651532386188, 'dry_amp': 0.2113808604243769}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:33,148] Trial 13 finished with value: 0.5793216552998995 and parameters: {'k1': 0.0873460686573034, 'D_low': 70.04897200617721, 'k2': 0.022991973702093327, 'D_high': 1159.9804472911278, 'fire_exp': 0.6023408687860617, 'P_half': 0.7469443260174051, 'pre_dampen_half': 86.94269468464978, 'gpp_af': 0.01394270407239778, 'gpp_b': 1.1109411505582193e-06, 'gpp_d': 18.787588092757645, 'ign_k': 0.27215205703286, 'ign_c': 28.27615722174678, 'dryanom_half': 0.633324059985374, 'dry_amp': 0.06995172630051937}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:33,623] Trial 14 finished with value: 0.3994490055432051 and parameters: {'k1': 0.06818149637224882, 'D_low': 6.252530957050763, 'k2': 0.0012574678620857578, 'D_high': 8568.507546871202, 'fire_exp': 0.6944264242491877, 'P_half': 1.3355998629484558, 'pre_dampen_half': 38.29824277703593, 'gpp_af': 1.2713192662786867, 'gpp_b': 0.010051459170404344, 'gpp_d': 717.9145447705253, 'ign_k': 4.344155138848366, 'ign_c': 89.08879397564291, 'dryanom_half': 6.356063819069908, 'dry_amp': 0.23810978051993767}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:34,096] Trial 15 finished with value: 0.5327202024665989 and parameters: {'k1': 0.011145829058419248, 'D_low': 28.701889938902234, 'k2': 0.0030600173291880396, 'D_high': 18.70133153707959, 'fire_exp': 0.4071257960162044, 'P_half': 0.28981634122804806, 'pre_dampen_half': 30.62101558741413, 'gpp_af': 0.07338080832981383, 'gpp_b': 0.015262865548966597, 'gpp_d': 43.253289645697045, 'ign_k': 0.27366629510263457, 'ign_c': 1.433822115531756, 'dryanom_half': 9.361970637092767, 'dry_amp': 0.10732561127585157}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:34,580] Trial 16 finished with value: 0.5563602267731091 and parameters: {'k1': 0.012723305062744383, 'D_low': 86.84085752764128, 'k2': 0.01046800001529726, 'D_high': 897.2987884596981, 'fire_exp': 0.5736603261560632, 'P_half': 1076.4859917954188, 'pre_dampen_half': 1.5200166488596643, 'gpp_af': 1.6151889844089824, 'gpp_b': 0.021762720820116255, 'gpp_d': 775.9080327714407, 'ign_k': 0.634858080904032, 'ign_c': 13.810623545557958, 'dryanom_half': 0.7083188964660847, 'dry_amp': 0.08382994333473204}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:35,056] Trial 17 finished with value: 0.5761044141631892 and parameters: {'k1': 0.015766604652361786, 'D_low': 22.433922126986054, 'k2': 0.00047833081483938017, 'D_high': 548.2169483929686, 'fire_exp': 0.39848022689191853, 'P_half': 4.511624829746421, 'pre_dampen_half': 1.05791719427914, 'gpp_af': 0.06040933661698425, 'gpp_b': 1.1884816625323832e-06, 'gpp_d': 277.09530590707504, 'ign_k': 2.6916556217994763, 'ign_c': 7.569357214024094, 'dryanom_half': 11.243304043315693, 'dry_amp': 0.10500099161824157}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:35,529] Trial 18 finished with value: 0.39483147756412434 and parameters: {'k1': 0.0007098924062795086, 'D_low': 4868.89942951445, 'k2': 0.016652045751142774, 'D_high': 4486.691089620781, 'fire_exp': 1.1240439965134748, 'P_half': 0.4752149185277464, 'pre_dampen_half': 0.3797024905830782, 'gpp_af': 1.0007096486671265, 'gpp_b': 0.00013839931119308916, 'gpp_d': 30.14375998126853, 'ign_k': 0.6262324499770332, 'ign_c': 48.55190805323282, 'dryanom_half': 3.208666312530642, 'dry_amp': 0.08833660333906997}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:36,006] Trial 19 finished with value: 0.5157834328056788 and parameters: {'k1': 0.038075911642267805, 'D_low': 11.382530034968742, 'k2': 0.02456588006334776, 'D_high': 14977.522361089503, 'fire_exp': 0.55739509289972, 'P_half': 80.87292782445381, 'pre_dampen_half': 27.909194861742677, 'gpp_af': 11.477978121546137, 'gpp_b': 6.434139884706879e-05, 'gpp_d': 149.62011733316015, 'ign_k': 0.4496139524187737, 'ign_c': 0.7196448812336143, 'dryanom_half': 30.324902599897978, 'dry_amp': 0.056510368670679}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:36,478] Trial 20 finished with value: 0.3994490055432051 and parameters: {'k1': 0.000950714931688657, 'D_low': 34.30280562890245, 'k2': 0.0002673668387372583, 'D_high': 1152.5605974330256, 'fire_exp': 0.789348118171983, 'P_half': 2.187113406486374, 'pre_dampen_half': 494.31699830510274, 'gpp_af': 9.92350823548108, 'gpp_b': 0.00017356709956095696, 'gpp_d': 2.099037721414938, 'ign_k': 0.4827566445131096, 'ign_c': 121.49008666169341, 'dryanom_half': 20.62900092782967, 'dry_amp': 0.2598266268918182}. Best is trial 0 with value: 0.6103502735484728.
